metric,mean,std,min,max,folds
accuracy,0.6424989558431095,0.1988338451038451,0.282,0.8759305210918115,50
macro_f1,0.5555938341129153,0.16209791079076902,0.3167698075271745,0.717561917352597,50
weighted_f1,0.6594837527821756,0.23392703017274946,0.22513930743292776,0.8963301515893884,50
roc_auc_ovr_macro,0.8897848680409689,0.0866113690035005,0.7266061624983656,0.9662865695743069,50
average_precision_macro,0.7490429731357038,0.12107124678901479,0.5902318062578455,0.886269158578808,50
n_items,817.6,683.4297061624598,287.0,2124.0,50
precision_HumpbackWhale,0.3326076229897273,0.19198985285483341,0.05,0.5921787709497207,50
recall_HumpbackWhale,0.7680249061441259,0.3722105443924823,0.049079754601226995,1.0,50
f1_HumpbackWhale,0.3410636417222102,0.22716721069716903,0.08913649025069638,0.6773162939297125,50
support_HumpbackWhale,108.2,117.83835348060668,20.0,326.0,50
precision_SpermWhale,0.5848230780811723,0.37658944632760954,0.11764705882352941,1.0,50
recall_SpermWhale,0.802233818252295,0.16594556054622114,0.5217391304347826,1.0,50
f1_SpermWhale,0.6179559490755101,0.30870541201469603,0.192,0.943683409436834,50
support_SpermWhale,189.2,244.36623568500036,66.0,673.0,50
precision_KillerWhale,0.8712814832754003,0.17225810948667497,0.5527950310559007,1.0,50
recall_KillerWhale,0.6324050473206719,0.1293786838673563,0.5112359550561798,0.8476190476190476,50
f1_KillerWhale,0.7077619115410259,0.06705678127697126,0.6341463414634146,0.829072105716748,50
support_KillerWhale,520.2,767.2153198019286,105.0,2038.0,50
