metric,mean,std,min,max,folds
accuracy,0.48279310182640806,0.07594493895475618,0.3613193403298351,0.5767441860465117,50
macro_f1,0.4443652305523544,0.09652307405519221,0.27565514806930236,0.553760758820544,50
weighted_f1,0.5283086314606028,0.08114191678267853,0.37039095734974126,0.5924922000852073,50
roc_auc_ovr_macro,0.6808671841629942,0.05844520579685082,0.5701191635700831,0.7354549560207913,50
average_precision_macro,0.5191367477175476,0.09487909491532016,0.36109396630434903,0.6073898561430874,50
n_items,817.6,371.85448108371753,531.0,1545.0,50
precision_HumpbackWhale,0.21467612079356108,0.20571656273938949,0.022813688212927757,0.5420875420875421,50
recall_HumpbackWhale,0.6117060414429464,0.22869142405130263,0.3793103448275862,1.0,50
f1_HumpbackWhale,0.24788115013035472,0.19565411450571754,0.04460966542750929,0.5494880546075085,50
support_HumpbackWhale,108.2,103.08585682600219,6.0,289.0,50
precision_SpermWhale,0.5862362487613706,0.31009279309759935,0.10426540284360189,0.8823529411764706,50
recall_SpermWhale,0.5889067475745802,0.252938777290211,0.2032520325203252,0.967741935483871,50
f1_SpermWhale,0.5401451624116994,0.2838871030004252,0.17647058823529413,0.9230769230769231,50
support_SpermWhale,189.2,141.88440250242232,114.0,470.0,50
precision_KillerWhale,0.766280857803692,0.13049117304083552,0.5912698412698413,0.9676425269645609,50
recall_KillerWhale,0.47669395339433906,0.21103139542288926,0.14861995753715498,0.7982832618025751,50
f1_KillerWhale,0.5450693791150091,0.15951642433271504,0.2513464991023339,0.7279843444227005,50
support_KillerWhale,520.2,466.2597156617539,201.0,1424.0,50
