metric,mean,std,min,max,folds
accuracy,0.9434127717124197,0.05535675991382301,0.8334307422559907,1.0,50
macro_f1,0.9198317340408642,0.08626148709457604,0.7220274962332142,1.0,50
weighted_f1,0.9376889213333592,0.06364913079764332,0.8034501191576053,1.0,50
roc_auc_ovr_macro,0.9921479640865758,0.009352121812267961,0.9701555059178838,1.0,50
average_precision_macro,0.9552521953683255,0.05572540167842132,0.8404219975907924,1.0,50
n_items,1544.6,98.3921765597411,1437.0,1711.0,50
precision_HumpbackWhale,1.0,0.0,1.0,1.0,50
recall_HumpbackWhale,1.0,0.0,1.0,1.0,50
f1_HumpbackWhale,1.0,0.0,1.0,1.0,50
support_HumpbackWhale,109.2,73.26273658162499,68.0,254.0,50
precision_SpermWhale,0.9058589970058499,0.12480316600846973,0.6011904761904762,1.0,50
recall_SpermWhale,0.9139106472223578,0.07197971803758074,0.7881773399014779,1.0,50
f1_SpermWhale,0.9008973731920791,0.060725877065713446,0.7509293680297398,1.0,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.9978262637998563,0.004398755988556022,0.9829545454545454,1.0,50
recall_KillerWhale,0.9809532120704136,0.07016165907585242,0.6724137931034483,1.0,50
f1_KillerWhale,0.9878644248555739,0.04098402975566733,0.8041237113402062,1.0,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
precision_Long_FinnedPilotWhale,0.8676639000544826,0.13647957871667996,0.5753424657534246,1.0,50
recall_Long_FinnedPilotWhale,0.9626470588235294,0.06350494356367198,0.8186274509803921,1.0,50
f1_Long_FinnedPilotWhale,0.9097871862867428,0.10357013333655186,0.6774193548387096,1.0,50
support_Long_FinnedPilotWhale,213.4,17.042563762293415,204.0,247.0,50
precision_NorthernRightWhale,0.9977209623575459,0.005276936318649573,0.9852941176470589,1.0,50
recall_NorthernRightWhale,1.0,0.0,1.0,1.0,50
f1_NorthernRightWhale,0.9988523020663927,0.002657420548979139,0.9925925925925926,1.0,50
support_NorthernRightWhale,68.4,1.9794866372215738,67.0,72.0,50
precision_SpinnerDolphin,0.9404186469150249,0.09898244229893882,0.5476190476190477,1.0,50
recall_SpinnerDolphin,0.8758536585365853,0.18593407071042353,0.2875,1.0,50
f1_SpinnerDolphin,0.8963036792535563,0.13248070294565636,0.3770491803278688,1.0,50
support_SpinnerDolphin,88.6,15.902765771515137,79.0,120.0,50
precision_Short_Finned(Pacific)PilotWhale,0.7740022875675049,0.39826880478905585,0.0,1.0,50
recall_Short_Finned(Pacific)PilotWhale,0.8,0.4040610178208843,0.0,1.0,50
f1_Short_Finned(Pacific)PilotWhale,0.7849650681150233,0.399394032251138,0.0,1.0,50
support_Short_Finned(Pacific)PilotWhale,111.6,21.127407482669884,92.0,147.0,50
precision_Beluga_WhiteWhale,0.9462167264566645,0.16014086599559255,0.14705882352941177,1.0,50
recall_Beluga_WhiteWhale,0.8683333333333334,0.2682351829620507,0.2916666666666667,1.0,50
f1_Beluga_WhiteWhale,0.8678594081135184,0.2250244090537228,0.2564102564102564,1.0,50
support_Beluga_WhiteWhale,26.2,4.490352470143346,23.0,35.0,50
precision_WeddellSeal,1.0,0.0,1.0,1.0,50
recall_WeddellSeal,1.0,0.0,1.0,1.0,50
f1_WeddellSeal,1.0,0.0,1.0,1.0,50
support_WeddellSeal,20.4,1.761261143705422,18.0,23.0,50
precision_Walrus,1.0,0.0,1.0,1.0,50
recall_Walrus,0.9928571428571429,0.014430750636460148,0.9642857142857143,1.0,50
f1_Walrus,0.9963636363636366,0.007346563960379717,0.9818181818181818,1.0,50
support_Walrus,52.4,48.796118949049585,27.0,149.0,50
precision_StripedDolphin,0.9470501433241917,0.19892839558089756,0.0,1.0,50
recall_StripedDolphin,0.764807084123972,0.4002970029300593,0.0,1.0,50
f1_StripedDolphin,0.7752559962029839,0.3788685478474595,0.0,1.0,50
support_StripedDolphin,131.6,61.82001525165038,82.0,250.0,50
